direct_seconds,direct_status,fglm_seconds,fglm_status,max_degree,mixing_rounds,recovery_degree,seed,shear_pairs,size_mb,solutions,terms,verify_seconds
,,0.08960223998292349,easy,64,2,5,20260923,1,0.2551231384277344,32,1321,0.1593178230104968
,,0.021506585006136447,easy,72,0,5,20260923,1,0.30055713653564453,36,1555,0.21056725500966422
,,90.0,timeout,49,2,9,20260924,2,3.809077262878418,24,19773,1.622370958008105
,,0.8593873819918372,easy,72,2,7,20260925,2,5.5180559158325195,36,28527,3.3189860109996516
,,0.09870247100479901,easy,80,0,9,20260924,1,0.40117549896240234,40,2077,0.30273016801220365
,,0.06999721899046563,easy,80,6,9,20260924,1,0.8492040634155273,40,4408,0.5695755149936303
,,0.085468828008743,easy,82,4,7,20260922,1,1.8829278945922852,40,9741,1.206447233009385
,,90.0,timeout,73,6,9,20260925,1,1.093881607055664,36,5673,0.6542567329888698
,,0.07248022401472554,easy,72,6,5,20260923,2,2.034364700317383,36,10525,1.2832275279797614
,,90.0,timeout,80,6,5,20260924,2,5.032538414001465,40,25991,3.288430006999988
,,0.1343712130037602,easy,88,4,7,20260923,2,3.6337060928344727,44,18770,2.6321123230154626
,,0.02497434598626569,easy,49,2,7,20260922,1,0.6499061584472656,24,3372,0.27560192201053724
,,0.023323075991356745,easy,80,4,5,20260924,1,0.3963899612426758,40,2052,0.27326532200095244
,,0.3985655680007767,easy,56,6,9,20260922,2,3.5773496627807617,28,18570,1.621800805995008
,,0.029769165004836395,easy,56,0,5,20260924,1,0.5171499252319336,28,2680,0.2577021850156598
,,0.010233331995550543,easy,48,2,5,20260924,1,0.12627506256103516,24,655,0.08802397799445316
,,0.018204374006018043,easy,56,2,5,20260923,1,0.2360401153564453,28,1224,0.13096696298453026
30.0,timeout,4.1768678829830606,ok,82,2,9,20260923,1,0.9209156036376953,40,4767,0.6371213520178571
,,0.10849371500080451,easy,49,2,5,20260922,2,5.174080848693848,24,26850,2.0320773749845102
,,0.7183576109819114,easy,72,2,9,20260924,2,4.058770179748535,36,21000,2.3689146320102736
,,90.0,timeout,59,4,9,20260925,1,0.9619541168212891,28,4989,0.44285104298614897
,,0.015897470992058516,easy,56,6,7,20260923,1,0.3119344711303711,28,1623,0.1627431650122162
,,0.033734489989001304,easy,48,0,7,20260924,2,0.7305278778076172,24,3794,0.30027811400941573
,,0.07321061700349674,easy,64,2,5,20260923,2,2.623908042907715,32,13579,1.40401164200739
,,0.021781796996947378,easy,48,0,7,20260923,1,0.1724224090576172,24,894,0.09065307298442349
,,0.027831102022901177,easy,80,6,7,20260924,1,0.6440391540527344,40,3337,0.4306195279932581
,,0.04684876199462451,easy,65,2,9,20260922,1,0.5966167449951172,32,3091,0.3226362660061568
,,90.0,timeout,51,6,9,20260923,1,1.2396326065063477,24,6437,0.4917094460106455
,,0.03384765499504283,easy,80,2,7,20260923,1,0.39606761932373047,40,2050,0.2726731529983226
,,0.05396420499891974,easy,81,6,9,20260922,1,1.385721206665039,40,7178,0.8993099820218049
,,90.0,timeout,83,4,9,20260923,1,2.960574150085449,40,15323,1.8607194299984258
,,0.02073888498125598,easy,80,6,7,20260923,1,0.3103523254394531,40,1610,0.21651945999474265
,,90.0,timeout,89,6,5,20260924,1,1.3165655136108398,44,6812,0.9340844250109512
,,0.4972073170065414,easy,72,0,7,20260923,2,3.680567741394043,36,19026,2.312513292010408
,,0.051136844005668536,easy,89,6,9,20260922,1,1.2491064071655273,44,6470,0.8995306310243905
,,0.27335029499954544,easy,80,2,7,20260924,2,4.976762771606445,40,25701,3.4998628679895774
